generation,environment,reward_perspective,reward_control,reward_gain,perspective_closure,multiplicity_unity_distance,standpoint_persistence,action_source
46,perspective_C,0.49780799218774574,0.49780799218774574,0.0,True,0.2278883135638929,0.996269954382231,perspective
47,perspective_C,0.49763591912391203,0.49763591912391203,0.0,True,0.22713537800501468,0.9963244988578773,perspective
48,perspective_A,0.7628886119420419,0.7628886119420419,0.0,True,0.26031227984615296,0.9962663913033124,perspective
49,perspective_A,0.7748238267947405,0.7748238267947405,0.0,True,0.2564751114474935,0.996251191247932,perspective
50,perspective_A,0.7898758532394969,0.7898758532394969,0.0,True,0.2562616283248057,0.9962934349293037,perspective
51,perspective_A,0.8065132626711011,0.8065132626711011,0.0,True,0.25424460391739956,0.996312162363831,perspective
52,perspective_A,0.8134977239783887,0.8134977239783887,0.0,True,0.2605318061940399,0.9963980758757418,perspective
53,perspective_A,0.8032078389653596,0.8032078389653596,0.0,True,0.26145173433004176,0.9964220416266689,perspective
54,perspective_A,0.8068587970705845,0.8068587970705845,0.0,True,0.26119158245601776,0.9964815142296082,perspective
55,perspective_A,0.8191180354064611,0.8191180354064611,0.0,True,0.26039952760974966,0.9965296095542757,perspective
56,perspective_B,0.7719769689688638,0.7719769689688638,0.0,True,0.23124414176266125,0.9966009567286728,perspective
57,perspective_B,0.795713295098518,0.795713295098518,0.0,True,0.2319403909589206,0.9966917410611881,perspective
58,perspective_B,0.7709904893125827,0.7709904893125827,0.0,True,0.23493685377554663,0.9967782427338145,perspective
59,perspective_B,0.822290187248018,0.822290187248018,0.0,True,0.23575742718199522,0.9968405398879349,perspective
60,perspective_B,0.8188152927302381,0.8188152927302381,0.0,True,0.24076380757934263,0.996865815582923,perspective
61,perspective_B,0.8025115998744985,0.8025115998744985,0.0,True,0.2365831029405196,0.99688676128908,perspective
62,perspective_B,0.8135490677367644,0.8135490677367644,0.0,True,0.23663812178532204,0.9969380298079012,perspective
63,perspective_B,0.801626419715078,0.801626419715078,0.0,True,0.23939934813932034,0.9970052730012244,perspective
64,perspective_C,0.5154490145285624,0.5154490145285624,0.0,True,0.22416737344153248,0.9971394278931989,perspective
