generation,environment,reward,maintenance,environment_match,world_coherent,organism_coherent,world_self_distance,world_self_corridor,self_mediator_strength,self_reference_reachable,organism_recurrent_coupling,policy_to_self_coupling,recurrent_rho,self_model_closure,self_model_action_used,self_model_action_intervention,action_source,chosen_candidate_index,candidate_count,prediction_error,persistence_baseline_error,policy_change_norm,memory_slots,mean_resource,retained_fraction,export_fraction,self_model_excess_export_norm,self_model_excess_exports_total
38,self_world_B,0.8259563821116511,0.5535134095049776,0.9109960662072809,True,True,0.8790927469828803,True,0.36508536692015947,True,1.4341929390678356,0.828579755441783,0.9923205455278319,True,True,True,self_model,4,5,0.008941449520153367,0.008055303969760999,0.09058864809340246,3,0.5673696770716613,0.9576834922069442,0.04231650779305583,0.0,0
39,self_world_B,0.8337121585490104,0.5537713411611784,0.9270892036711332,True,True,0.8798644983891125,True,0.36499647639332805,True,1.4431895197938842,0.7721783471357496,0.9923259350156342,True,True,True,self_model,2,5,0.006439845257805787,0.0017004017524764356,0.07471653640264499,3,0.5679002332023235,0.9577135021428445,0.04228649785715554,0.0,0
40,self_world_C,0.5295560347194197,0.5395805919167486,0.3512269853683997,True,True,0.8440380251784001,True,0.21208968161512393,True,1.4219480841922418,0.7715729965039226,0.9923289913481462,True,True,True,self_model,3,5,0.01503926333333408,0.013763340204839962,0.1016127221152366,3,0.5535788743815264,0.9559591816140653,0.044040818385934676,0.0,0
41,self_world_C,0.47770815803928857,0.5281576182633558,0.2572071558849084,True,True,0.8342523497825396,True,0.21292286315189674,True,1.4328441822773907,0.7759149216987856,0.9929509777954597,True,True,True,self_model,4,5,0.010524469803945502,0.011894109444867735,0.11,3,0.5418324598641303,0.954542641447095,0.045457358552904954,0.0,0
42,self_world_C,0.49071596602541717,0.5222226845501402,0.2854331194255116,True,True,0.8265866619606572,True,0.2136491805291387,True,1.4201558452397882,0.8440185062167428,0.9930176410929886,True,True,True,self_model,2,5,0.021956736469148145,0.022482200547533356,0.07614378401599883,3,0.5357092716966577,0.953763521375878,0.04623647862412193,0.0,0
43,self_world_C,0.49661967291392234,0.5205621655489501,0.2976990863745663,True,True,0.8226599412651426,True,0.21403209305668303,True,1.415157612651121,0.8125232599850452,0.9930170219540081,True,True,True,self_model,2,5,0.01608052460568203,0.01980822850387688,0.11,3,0.5339899815686561,0.9535268701842777,0.046473129815722464,0.0,0
44,self_world_C,0.48974310387132625,0.5183578858026315,0.2865861159102827,True,True,0.8215549297744882,True,0.21413640880979135,True,1.4151135083463486,0.8777994204609656,0.9930547811720619,True,True,True,self_model,1,5,0.016664587031513307,0.01740833251847775,0.10999999999999999,3,0.5315585488767723,0.9533330956830783,0.04666690431692156,0.0,0
45,self_world_C,0.4962749382995607,0.52041560564627,0.299226726539995,True,True,0.8201689635747146,True,0.21431679444933024,True,1.41609492148998,0.87657695648088,0.9932169518270302,True,True,True,self_model,4,5,0.01663485617653653,0.01955849292442947,0.06502467087217678,3,0.5336187817130186,0.9536867471596963,0.046313252840303826,0.0,0
46,self_world_C,0.5116056755400411,0.522471191170904,0.32780273189164383,True,True,0.8215668114197725,True,0.21420628665643499,True,1.4165394766499744,0.8790448200921288,0.9932212290315635,True,True,True,self_model,4,5,0.004887090413190895,0.005190638851732031,0.11,3,0.5357633121151353,0.9538842971649724,0.046115702835027535,0.0,0
47,self_world_C,0.5041911043906314,0.5249113406588308,0.3123351066180971,True,True,0.8228500568377115,True,0.21405007976919468,True,1.4160768926926783,0.8531318144726779,0.9932219864446726,True,True,True,self_model,2,5,0.005788672825391361,0.00868840904180399,0.10419709820570765,3,0.538265961745387,0.9542980119313282,0.04570198806867189,0.0,0
48,self_world_A,0.7247546824040634,0.55851423391514,0.7204005103666703,True,True,0.9338254946742021,True,0.6034413256768301,True,1.4090670767916391,0.8660735168727153,0.9931570906072644,True,True,True,self_model,1,5,0.01795739604113364,0.026008644941538178,0.11000000000000001,3,0.5723944852361408,0.9585596128663281,0.041440387133672034,0.0,0
49,self_world_A,0.7347032586177826,0.5815175362983999,0.7283886006493833,True,True,0.936964746414203,True,0.6068545352370525,True,1.408571678480316,0.8775448284099097,0.9932220632479197,True,True,True,self_model,4,5,0.006496921912043216,0.013250350323479945,0.07300459849065971,3,0.5956552304502221,0.9612468904523108,0.038753109547689235,0.0,0
